"isolate","assembly","ref_contig","ref_size","draft_contig","draft_size","draft_align","draft_align_total","class","filter","rep","group","per_ref","status","misassembly"
"ATCC14028","canu","ATCC14028_2",93832,"tig00000002","153678","93792",93792,"plasmid","pass",1,"medium",99.9573706198312,"present","none"
"ATCC14458","canu","ATCC14458_1",15773,"tig00000003, tig00000002","30846, 61549","30822, 18566",49388,"plasmid, plasmid","pass",1,"medium",313.11735243771,"present","multiple contigs"
"ATCC14458","canu","ATCC14458_2",30891,"tig00000002","61549","30860",49418,"plasmid","pass",1,"medium",159.975397364928,"present","none"
"ATCC14458","canu","ATCC14458_3",4326,"tig00000005","8650","4285",4285,"plasmid","pass",1,"small",99.0522422561258,"present","none"
"ATCC14458","canu","ATCC14458_5",4439,"tig00000004","8966","4412",4412,"plasmid","pass",1,"small",99.3917548997522,"present","none"
"ATCC23235","canu","ATCC23235_1",27269,"tig00000002","53242","51461",51461,"plasmid","pass",1,"medium",188.71612453702,"present","none"
"ATCC25922","canu","ATCC25922_1",48488,"tig00000003, tig00000046","93983, 54810","48451, 47792",139684,"plasmid, plasmid","pass",1,"medium",288.079524830886,"present","multiple contigs"
"ATCC25922","canu","ATCC25922_2",3173,"tig00000006, tig00000027, tig00000033, tig00000011, tig00000020, tig00000015, tig00000019, tig00000035, tig00000030","6595, 3347, 3346, 3331, 3378, 3334, 3365, 3336, 3364","3142, 3132, 3066, 3063, 2973, 2876, 2900, 2900, 2867",50969,"plasmid, plasmid, plasmid, plasmid, plasmid, plasmid, plasmid, plasmid, plasmid","pass",1,"small",1606.33469902301,"present","multiple contigs"
"ATCC25922","canu","ATCC25922_3",1919,"tig00000005","5189","3764",3764,"plasmid","pass",1,"small",196.143824908807,"present","none"
"ATCC25922","canu","ATCC25922_5",24185,"tig00000002","48103","24153",24153,"plasmid","pass",1,"medium",99.8676865825925,"present","none"
"ATCC25923","canu","ATCC25923_2",27490,"tig00000002","44195","27479",27479,"plasmid","pass",1,"medium",99.9599854492543,"present","none"
"ATCC33090","canu","ATCC33090_1",104612,"tig00000002","130190","97724",97724,"plasmid","pass",1,"large",93.4156693304783,"present","none"
"ATCCBAA2146","canu","ATCCBAA2146_1",140825,"tig00000002","155832","155924",155924,"plasmid","pass",1,"large",110.721817859045,"present","none"
"ATCCBAA2146","canu","ATCCBAA2146_2",2014,"tig00000014, tig00000005","2143, 3908","2032, 3653",10737,"plasmid, plasmid","pass",1,"small",533.118172790467,"present","multiple contigs"
"ATCCBAA2146","canu","ATCCBAA2146_3",117755,"tig00000004, tig00000008, tig00000012, tig00000001","48220, 42226, 10256, 5421003","48281, 42254, 10267, 2258",103060,"plasmid, plasmid, plasmid, chromosome","fail - all alignments too short",1,"large",87.5206997579721,"absent","multiple contigs - chromsome"
"ATCCBAA2146","canu","ATCCBAA2146_4",85160,"tig00000015","92705","92819",92819,"plasmid","pass",1,"medium",108.993658994833,"present","none"
"2022NG-0032","canu","2022NG-0032_1",4153,"tig00000002","11527","8244",8244,"plasmid","pass",1,"small",198.50710329882,"present","none"
"2020QW-00078","canu","2020QW-00078_1",34331,"tig00000002","68529","34305",34305,"plasmid","pass",1,"medium",99.9242666977367,"present","none"
"2020QW-00078","canu","2020QW-00078_2",194062,"tig00000003","222414","179159",180889,"plasmid","pass",1,"large",93.2119631870227,"present","none"
"2020QW-00078","canu","2020QW-00078_4",97090,"tig00000004","187133","187175",187175,"plasmid","pass",1,"medium",192.78504480379,"present","none"
"2021QW-00045","canu","2021QW-00045_2",97090,"tig00000004","125470","125358",125358,"plasmid","pass",1,"medium",129.115253888145,"present","none"
"2021QW-00045","canu","2021QW-00045_3",190147,"tig00000003","217006","217066",217066,"plasmid","pass",1,"large",114.156941734553,"present","none"
"2021QW-00057","canu","2021QW-00057_1",46161,"tig00000004","91765","46130",46130,"plasmid","pass",1,"medium",99.9328437425532,"present","none"
"2021QW-00057","canu","2021QW-00057_3",4063,"tig00000015, tig00000017, tig00000014, tig00000021, tig00000020, tig00000018, tig00000022, tig00000019, tig00000016, tig00000023, tig00000024, tig00000025, tig00000012, tig00000010, tig00000009, tig00000013, tig00000011","4153, 4104, 4127, 4144, 4110, 4116, 4134, 4098, 4110, 4124, 4222, 4126, 4123, 4091, 4100, 4098, 4105","4026, 3967, 3963, 3876, 4009, 3975, 3828, 3963, 3953, 3799, 3741, 3715, 3768, 3768, 3736, 3839, 3704",72850,"plasmid, plasmid, plasmid, plasmid, plasmid, plasmid, plasmid, plasmid, plasmid, plasmid, plasmid, plasmid, plasmid, plasmid, plasmid, plasmid, plasmid","pass",1,"small",1793.01009106571,"present","multiple contigs"
"2021QW-00057","canu","2021QW-00057_4",2101,"tig00000007","6153","4134",4134,"plasmid","pass",1,"small",196.763445978106,"present","none"
"2021QW-00057","canu","2021QW-00057_5",118339,"tig00000006","138996","138991",138991,"plasmid","pass",1,"large",117.451558657754,"present","none"
"2021QW-00057","canu","2021QW-00057_6",4715,"tig00000005","9407","8637",8637,"plasmid","pass",1,"small",183.181336161188,"present","none"
"2021QW-00057","canu","2021QW-00057_7",4084,"tig00000031, tig00000032","5740, 4162","4060, 3748",36053,"plasmid, plasmid","pass",1,"small",882.786483839373,"present","multiple contigs"
"2021QW-00056","canu","2021QW-00056_2",95985,"tig00000004","129224","129241",129241,"plasmid","pass",1,"medium",134.647080272959,"present","none"
"2021QW-00056","canu","2021QW-00056_3",12268,"tig00000003","224603","24486",24486,"plasmid","pass",1,"medium",199.592435604826,"present","none"
"2022NG-0076","canu","2022NG-0076_1",4207,"tig00000002, tig00000009, tig00000018, tig00000010, tig00000008, tig00000007, tig00000019, tig00000020, tig00000006","8339, 4230, 4302, 4244, 4257, 4266, 4389, 4259, 4252","8000, 4109, 4056, 4155, 4056, 4011, 3956, 3831, 3920",57609,"plasmid, plasmid, plasmid, plasmid, plasmid, plasmid, plasmid, plasmid, plasmid","pass",1,"small",1369.3605894937,"present","multiple contigs"
"2022QW-00133","canu","2022QW-00133_2",43879,"tig00000003","68157","43860",43860,"plasmid","pass",1,"medium",99.9566991043552,"present","none"
"2022QW-00133","canu","2022QW-00133_3",27080,"tig00000002","53464","51619",51619,"plasmid","pass",1,"medium",190.616691285081,"present","none"
"ATCC14028","canu","ATCC14028_2",93832,"tig00000002","138631","138697",138697,"plasmid","pass",2,"medium",147.814178531844,"present","none"
"ATCC14458","canu","ATCC14458_1",15773,"tig00000003, tig00000002","31413, 61602","15760, 18566",34326,"plasmid, plasmid","pass",2,"medium",217.625055474545,"present","multiple contigs"
"ATCC14458","canu","ATCC14458_2",30891,"tig00000002","61602","60727",70006,"plasmid","pass",2,"medium",226.622640898644,"present","none"
"ATCC14458","canu","ATCC14458_3",4326,"tig00000005","9017","7775",7775,"plasmid","pass",2,"small",179.727230698104,"present","none"
"ATCC14458","canu","ATCC14458_5",4439,"tig00000004","6117","4412",4412,"plasmid","pass",2,"small",99.3917548997522,"present","none"
"ATCC23235","canu","ATCC23235_1",27269,"tig00000003","53708","27238",27238,"plasmid","pass",2,"medium",99.8863177967656,"present","none"
"ATCC25922","canu","ATCC25922_1",48488,"tig00000056, tig00000054","82490, 86388","48449, 48449",182331,"plasmid, plasmid","pass",2,"medium",376.033245339053,"present","multiple contigs"
"ATCC25922","canu","ATCC25922_2",3173,"tig00000033, tig00000040, tig00000034, tig00000031, tig00000042, tig00000048, tig00000020, tig00000053, tig00000051, tig00000028, tig00000023, tig00000050, tig00000036","3342, 3346, 3332, 3314, 3359, 3257, 3355, 3309, 3304, 3306, 3362, 3334, 3345","3090, 3095, 3050, 3108, 3116, 3016, 3015, 2983, 2922, 2904, 2900, 2885, 2890",68435,"plasmid, plasmid, plasmid, plasmid, plasmid, plasmid, plasmid, plasmid, plasmid, plasmid, plasmid, plasmid, plasmid","pass",2,"small",2156.7916797983,"present","multiple contigs"
"ATCC25922","canu","ATCC25922_3",1919,"tig00000007","5417","3740",3740,"plasmid","pass",2,"small",194.893173527879,"present","none"
"ATCC25922","canu","ATCC25922_5",24185,"tig00000002","47950","45389",45389,"plasmid","pass",2,"medium",187.674178209634,"present","none"
"ATCC25923","canu","ATCC25923_2",27490,"tig00000002","51878","27477",27477,"plasmid","pass",2,"medium",99.9527100763914,"present","none"
"ATCC33090","canu","ATCC33090_1",104612,"tig00000002","127569","127645",127645,"plasmid","pass",2,"large",122.017550567812,"present","none"
"ATCCBAA2146","canu","ATCCBAA2146_1",140825,"tig00000004","167086","167214",167214,"plasmid","pass",2,"large",118.738860287591,"present","none"
"ATCCBAA2146","canu","ATCCBAA2146_2",2014,"tig00000007","3320","2001",2001,"plasmid","pass",2,"small",99.3545183714002,"present","none"
"ATCCBAA2146","canu","ATCCBAA2146_3",117755,"tig00000005","135062","117738",117738,"plasmid","pass",2,"large",99.985563245722,"present","none"
"ATCCBAA2146","canu","ATCCBAA2146_4",85160,"tig00000006","94977","95103",95103,"plasmid","pass",2,"medium",111.675669328323,"present","none"
"2022NG-0032","canu","2022NG-0032_1",4153,"tig00000002","12407","12011",12011,"plasmid","pass",2,"small",289.212617385023,"present","none"
"2020QW-00078","canu","2020QW-00078_1",34331,"tig00000002","68472","34288",34288,"plasmid","pass",2,"medium",99.8747487693338,"present","none"
"2020QW-00078","canu","2020QW-00078_2",194062,"tig00000003","222980","194027",194027,"plasmid","pass",2,"large",99.9819645268007,"present","none"
"2020QW-00078","canu","2020QW-00078_4",97090,"tig00000004","184580","97055",97055,"plasmid","pass",2,"medium",99.9639509733237,"present","none"
"2021QW-00045","canu","2021QW-00045_2",97090,"tig00000003","136270","136285",136285,"plasmid","pass",2,"medium",140.36976001648,"present","none"
"2021QW-00045","canu","2021QW-00045_3",190147,"tig00000002","231108","189315",189315,"plasmid","pass",2,"large",99.5624437934861,"present","none"
"2021QW-00057","canu","2021QW-00057_1",46161,"tig00000005","91140","46135",46135,"plasmid","pass",2,"medium",99.9436753969801,"present","none"
"2021QW-00057","canu","2021QW-00057_3",4063,"tig00000014, tig00000012, tig00000015, tig00000017, tig00000011, tig00000013, tig00000010, tig00000009, tig00000016, tig00000008, tig00000019, tig00000018, tig00000020, tig00000021","4138, 4144, 4158, 4193, 4114, 4127, 4092, 4120, 4116, 5196, 4121, 4088, 4134, 4146","4018, 3967, 3963, 3919, 3943, 3941, 3905, 3883, 3865, 3817, 3822, 3803, 3803, 3667",68504,"plasmid, plasmid, plasmid, plasmid, plasmid, plasmid, plasmid, plasmid, plasmid, plasmid, plasmid, plasmid, plasmid, plasmid","pass",2,"small",1686.04479448683,"present","multiple contigs"
"2021QW-00057","canu","2021QW-00057_4",2101,"tig00000007","5988","5891",5891,"plasmid","pass",2,"small",280.390290337934,"present","none"
"2021QW-00057","canu","2021QW-00057_5",118339,"tig00000006","144872","116007",120336,"plasmid","pass",2,"large",101.687524822755,"present","none"
"2021QW-00057","canu","2021QW-00057_6",4715,"tig00000002","9460","4694",4694,"plasmid","pass",2,"small",99.5546129374337,"present","none"
"2021QW-00057","canu","2021QW-00057_7",4084,"tig00000026, tig00000043","7180, 4176","4049, 3852",36447,"plasmid, plasmid","pass",2,"small",892.43388834476,"present","multiple contigs"
"2021QW-00056","canu","2021QW-00056_2",95985,"tig00000004","137687","137712",137712,"plasmid","pass",2,"medium",143.472417565245,"present","none"
"2021QW-00056","canu","2021QW-00056_3",12268,"tig00000003, tig00000005","224032, 53870","24486, 34899",59385,"plasmid, plasmid","pass",2,"medium",484.064232148679,"present","multiple contigs"
"2022NG-0076","canu","2022NG-0076_1",4207,"tig00000002","8387","7802",7802,"plasmid","pass",2,"small",185.452816734015,"present","none"
"2022QW-00133","canu","2022QW-00133_2",43879,"tig00000003","70334","43860",43860,"plasmid","pass",2,"medium",99.9566991043552,"present","none"
"2022QW-00133","canu","2022QW-00133_3",27080,"tig00000002","51454","51058",51058,"plasmid","pass",2,"medium",188.545051698671,"present","none"
"ATCC14028","canu","ATCC14028_2",93832,"tig00000002","146446","82911",82911,"plasmid","fail - all alignments too short",3,"medium",88.36111347941,"absent","none"
"ATCC14458","canu","ATCC14458_1",15773,"tig00000010","57936","15760",15760,"plasmid","pass",3,"medium",99.9175806758385,"present","none"
"ATCC14458","canu","ATCC14458_2",30891,"tig00000004","61319","30859",30859,"plasmid","pass",3,"medium",99.8964099575928,"present","none"
"ATCC14458","canu","ATCC14458_3",4326,"tig00000005","8679","4285",4285,"plasmid","pass",3,"small",99.0522422561258,"present","none"
"ATCC14458","canu","ATCC14458_5",4439,"tig00000006","10618","8830",8830,"plasmid","pass",3,"small",198.918675377337,"present","none"
"ATCC23235","canu","ATCC23235_1",27269,"tig00000002","52532","27237",27237,"plasmid","pass",3,"medium",99.8826506289193,"present","none"
"ATCC25922","canu","ATCC25922_1",48488,"tig00000003, tig00000034","96520, 59145","48451, 48451",140200,"plasmid, plasmid","pass",3,"medium",289.143705659132,"present","multiple contigs"
"ATCC25922","canu","ATCC25922_2",3173,"tig00000007, tig00000024, tig00000013, tig00000011, tig00000010","3325, 3343, 3357, 3335, 3375","3066, 3110, 3034, 3079, 2973",36239,"plasmid, plasmid, plasmid, plasmid, plasmid","pass",3,"small",1142.10526315789,"present","multiple contigs"
"ATCC25922","canu","ATCC25922_3",1919,"tig00000005","5614","3694",3694,"plasmid","pass",3,"small",192.496091714435,"present","none"
"ATCC25922","canu","ATCC25922_5",24185,"tig00000002","47833","44137",44137,"plasmid","pass",3,"medium",182.497415753566,"present","none"
"ATCC25923","canu","ATCC25923_2",27490,"tig00000002","43472","27477",27477,"plasmid","pass",3,"medium",99.9527100763914,"present","none"
"ATCC33090","canu","ATCC33090_1",104612,"tig00000002","134304","104573",104573,"plasmid","pass",3,"large",99.9627193820977,"present","none"
"ATCCBAA2146","canu","ATCCBAA2146_1",140825,"tig00000002","155609","155698",155698,"plasmid","pass",3,"large",110.561334990236,"present","none"
"ATCCBAA2146","canu","ATCCBAA2146_2",2014,"tig00000014, tig00000010","2232, 2219","2024, 1896",10763,"plasmid, plasmid","pass",3,"small",534.409136047666,"present","multiple contigs"
